surname,team,position,minutes,shots,passes,tackles,saves,number of passes per minute played,,,,,Which team has the highest average number of passes per minute played,
Sagna,France,defender,270,0,125,4,0,0.46,,,,,,
Jorgensen,Denmark,midfielder,169,1,78,8,0,0.46,,,,,,
Cherundolo,USA,defender,390,1,180,10,0,0.46,,,,,,
Bruno Alves,Portugal,defender,360,1,166,5,0,0.46,,,,,,
Idrissou,Cameroon,forward,50,2,23,1,0,0.46,,,,,,
Barnetta,Switzerland,midfielder,227,3,104,5,0,0.46,,,,,,
Wilkshire,Australia,midfielder,256,2,117,8,0,0.46,,,,,,
Medel,Chile,defender,270,1,123,7,0,0.46,,,,,,
Tiene,Ivory Coast,defender,180,1,82,7,0,0.46,,,,,,
Ahn Young-Hak,North Korea,midfielder,270,1,123,11,0,0.46,,,,,,
Lee Jung-Soo,South Korea,defender,360,2,164,8,0,0.46,,,,,,
Eriksen,Denmark,midfielder,44,1,20,1,0,0.45,,,,,,
Brockie,New Zealand,midfielder,11,0,5,0,0,0.45,,,,,,
Friedrich,Germany,defender,540,1,244,16,0,0.45,,,,,,
Boulahrouz,Netherlands,defender,180,0,81,8,0,0.45,,,,,,
Elia,Netherlands,forward,85,2,38,2,0,0.45,,,,,,
Asamoah,Ghana,midfielder,480,11,214,9,0,0.45,,,,,,
Agger,Denmark,defender,270,2,120,10,0,0.44,,,,,,
Pepe,Italy,forward,225,3,100,5,0,0.44,,,,,,
Yano,Japan,forward,9,0,4,0,0,0.44,,,,,,
Lee Young-Pyo,South Korea,defender,360,2,160,2,0,0.44,,,,,,
Perez,Uruguay,midfielder,567,2,252,34,0,0.44,,,,,,
Pa Gaxa,South Africa,defender,215,1,95,2,0,0.44,,,,,,
Kim Nam-Il,South Korea,midfielder,86,2,38,6,0,0.44,,,,,,
Durica,Slovakia,defender,360,1,159,4,0,0.44,,,,,,
Alcaraz,Paraguay,defender,390,1,172,13,0,0.44,,,,,,
Elliott,New Zealand,midfielder,270,1,119,7,0,0.44,,,,,,
Ayew,Ghana,midfielder,389,3,170,15,0,0.44,,,,,,
Bassong,Cameroon,defender,163,0,71,3,0,0.44,,,,,,
Boateng,Germany,defender,287,1,125,10,0,0.44,,,,,,
Gutierrez,Argentina,midfielder,191,0,83,11,0,0.43,,,,,,
Seitaridis,Greece,defender,90,0,39,6,0,0.43,,,,,,
Sibaya,South Africa,midfielder,90,1,39,2,0,0.43,,,,,,
